0,0,248269,34663.764187
0,1,126142,29814.966692
0,2,78321,28345.591548
0,3,60961,27676.746125
0,4,58625,27144.654482
0,5,45468,26383.567412
0,6,22567,25825.884588
0,7,11036,25718.507626
0,8,6912,25697.084050
0,9,6178,25686.034847
0,10,7332,25672.853965
0,11,9749,25650.815410
0,12,14252,25608.740230
0,13,21623,25513.397391
0,14,28456,25274.519767
0,15,23429,24801.849413
0,16,12764,24484.636454
0,17,6331,24397.918318
0,18,3183,24377.175073
0,19,1646,24372.065399
0,20,915,24370.662354
0,21,503,24370.260125
0,22,289,24370.130020
0,23,166,24370.087139
0,24,98,24370.072736
0,25,63,24370.068175
0,26,36,24370.066266
0,27,18,24370.065678
0,28,5,24370.065456
0,29,2,24370.065400
0,30,2,24370.065395
1,0,285921,37425.449154
1,1,167288,30213.036646
1,2,87862,27365.565094
1,3,45006,26299.764862
1,4,22107,25945.659561
1,5,12169,25843.616624
1,6,8136,25810.518675
1,7,6437,25792.283160
1,8,5785,25778.102126
1,9,5829,25764.488816
1,10,6904,25747.538674
1,11,9991,25720.266219
1,12,15345,25667.925106
1,13,23730,25552.705423
1,14,31033,25304.480277
1,15,28902,24906.940997
1,16,18374,24567.555680
1,17,9246,24433.745212
1,18,4221,24401.903279
1,19,1883,24395.716317
1,20,836,24394.540182
1,21,399,24394.297168
1,22,170,24394.245840
1,23,69,24394.235376
1,24,34,24394.232872
1,25,23,24394.232190
1,26,7,24394.231964
1,27,3,24394.231924
1,28,1,24394.231915
1,29,2,24394.231913
1,30,1,24394.231906
1,31,1,24394.231904
1,32,1,24394.231901
1,33,1,24394.231898
1,34,1,24394.231895
2,0,267055,36668.659808
2,1,149140,30764.810556
2,2,87525,28915.561564
2,3,78627,28119.975785
2,4,74639,27312.196573
2,5,56406,26419.679555
2,6,32184,25780.882103
2,7,17519,25562.704211
2,8,11835,25503.226061
2,9,11255,25470.308954
2,10,15293,25426.006262
2,11,23649,25318.024734
2,12,28127,25052.988929
2,13,20619,24667.274883
2,14,9708,24449.981295
2,15,3665,24405.143400
2,16,1340,24399.264044
2,17,512,24398.540332
2,18,204,24398.442491
2,19,79,24398.427071
2,20,39,24398.424133
2,21,12,24398.423683
2,22,10,24398.423605
2,23,1,24398.423568
3,0,228525,39065.417868
3,1,170531,32625.641825
3,2,107953,30040.005229
3,3,87042,28829.643285
3,4,66400,27824.815000
3,5,46282,27246.775510
3,6,37292,26970.533710
3,7,39574,26754.349168
3,8,46469,26420.040146
3,9,42247,25832.245085
3,10,29136,25318.102406
3,11,24238,25114.780329
3,12,24275,24926.343901
3,13,20913,24677.234089
3,14,13120,24470.172823
3,15,6514,24386.918464
3,16,2866,24368.390172
3,17,1294,24365.219355
3,18,606,24364.636415
3,19,282,24364.531870
3,20,119,24364.508807
3,21,45,24364.504196
3,22,21,24364.503514
3,23,5,24364.503345
3,24,3,24364.503320
3,25,2,24364.503312
4,0,237152,33284.629314
4,1,113894,28465.649273
4,2,62177,26912.621563
4,3,40148,26279.602172
4,4,24865,25949.247085
4,5,16738,25818.295336
4,6,15276,25757.519790
4,7,21650,25679.231936
4,8,34125,25437.797567
4,9,29193,24879.926591
4,10,14850,24488.311949
4,11,6346,24391.841129
4,12,2672,24375.194418
4,13,1207,24372.223977
4,14,616,24371.602137
4,15,305,24371.454312
4,16,162,24371.412552
4,17,87,24371.401544
4,18,48,24371.397667
4,19,30,24371.396377
4,20,20,24371.395856
4,21,8,24371.395579
4,22,6,24371.395500
4,23,4,24371.395469
4,24,1,24371.395449
4,25,3,24371.395445
4,26,2,24371.395438
4,27,2,24371.395432
4,28,1,24371.395423
4,29,2,24371.395421
4,30,3,24371.395415
5,0,283373,37567.112866
5,1,189460,30590.534723
5,2,99759,27598.473348
5,3,59116,26384.865657
5,4,45177,25845.020733
5,5,40554,25309.501796
5,6,22530,24622.187488
5,7,8097,24394.724875
5,8,2646,24374.578847
5,9,1043,24372.520166
5,10,477,24372.164580
5,11,232,24372.075561
5,12,141,24372.049864
5,13,61,24372.042225
5,14,38,24372.040323
5,15,15,24372.039689
5,16,7,24372.039503
5,17,5,24372.039470
5,18,4,24372.039455
5,19,3,24372.039440
5,20,2,24372.039425
5,21,2,24372.039417
5,22,3,24372.039403
5,23,1,24372.039396
