"AbsoluteTime","Phase","Step","Loop","Iteration","Frequency","CPU_Usage","RSZ","SWAP","Cumul_pflts","Nb_pflts","Read_Kbps","Write_Kbps"
1674005287998,1,1,0,-1,2900000
1674005321605,1,1,1,-1,2900000
1674005321652,1,2,0,0,2900000
1674005352303,1,2,1,1,2900000
1674005375562,1,3,1,1,2900000
1674005468637,1,4,1,18,2900000
1674005469733,1,5,1,1,2900000
1674005513232,1,2,2,1,2900000
1674005534998,1,3,2,1,2900000
1674005708096,1,4,2,30,2900000
1674005709282,1,5,2,1,2900000
1674005709293,2,1,0,0,2900000
1674005709308,2,1,1,20,2900000
1674005709329,2,2,0,0,2900000
1674005709647,2,2,1,13,2900000
1674005709660,3,1,0,-1,2900000
1674005830339,3,1,1,-1,2900000
1674005830463,4,1,0,-1,2900000
1674005868195,4,1,1,-1,2900000
1674005868224,4,2,0,0,2900000
1674005930729,4,2,1,7,2900000
