0,0,14944
1,0,19938
2,0,18018
3,0,848
4,0,6883
5,0,9489
6,0,5818
7,0,222370
8,0,14839
9,0,10319
0,1,9700
1,1,21426
2,1,10695
3,1,7468
4,1,193457
5,1,5111
6,1,23969
7,1,4912
8,1,12640
9,1,7058
0,2,16351
1,2,1355
2,2,18940
3,2,12930
4,2,1674
5,2,15951
6,2,7107
7,2,7356
8,2,224918
9,2,5058
0,3,18132
1,3,12721
2,3,1718
3,3,17192
4,3,30490
5,3,21369
6,3,2577
7,3,1879
8,3,12348
9,3,242174
0,4,206596
1,4,10548
2,4,14229
3,4,14129
4,4,24238
5,4,14123
6,4,12125
7,4,10983
8,4,10860
9,4,8792
0,5,12537
1,5,4094
2,5,13663
3,5,558
4,5,6390
5,5,241
6,5,201998
7,5,6564
8,5,17372
9,5,8603
0,6,16864
1,6,204975
2,6,7355
3,6,2011
4,6,12651
5,6,17575
6,6,21055
7,6,15658
8,6,14160
9,6,14611
0,7,11249
1,7,9357
2,7,227223
3,7,14891
4,7,30833
5,7,7467
6,7,15180
7,7,15912
8,7,3362
9,7,4144
0,8,19162
1,8,33912
2,8,3844
3,8,225821
4,8,18847
5,8,16778
6,8,27327
7,8,26288
8,8,20285
9,8,21643
0,9,10010
1,9,17219
2,9,19860
3,9,39697
4,9,10082
5,9,227441
6,9,18389
7,9,23623
8,9,4761
9,9,13143
