"AbsoluteTime","Phase","Step","Loop","Iteration","Change_count","Total_distance","Frequency","CPU_Usage","RSZ","SWAP","Cumul_pflts","Temperature","IO_Kbps"
1677434390195,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434391436,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434392674,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,73000,0
1677434393912,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434395150,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434396395,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434397636,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434398871,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434400109,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434401348,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434402586,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,75000,0
1677434403824,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434405063,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434406302,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,79000,0
1677434407542,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434408779,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434410018,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434411258,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,76000,0
1677434412498,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,76000,0
1677434413744,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434414983,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434416221,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434417459,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434418698,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434419936,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,73000,0
1677434421178,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434422416,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434423655,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434424898,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434426137,*,*,*,*,*,*,*,93.8,1152.9m,0.4m,6055,76000,0
1677434427376,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434428615,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434429853,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434431090,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434432329,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434433567,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,73000,0
1677434434806,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434436043,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434437289,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434438537,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434439785,*,*,*,*,*,*,*,93.8,1152.9m,0.4m,6055,82000,0
1677434441037,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434442275,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434443514,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,74000,0
1677434444753,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434445991,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434447230,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434448482,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,76000,0
1677434449719,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434450958,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434452196,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434453434,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434454671,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434455908,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434457146,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,74000,0
1677434458386,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434459624,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434460863,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,77000,0
1677434462111,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434463350,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,76000,0
1677434464588,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434465827,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434467064,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434468304,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434469543,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434470782,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,74000,0
1677434472020,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434473257,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434474494,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,73000,0
1677434475750,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434476988,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434478226,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434479464,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434480702,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434481940,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434483177,*,*,*,*,*,*,*,87.5,1152.9m,0.4m,6055,76000,0
1677434484415,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,74000,0
1677434485652,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434486890,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434488128,*,*,*,*,*,*,*,93.8,1152.9m,0.4m,6055,78000,0
1677434489423,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434490660,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434491899,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434493139,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434494377,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434495615,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434496852,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434498090,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,74000,0
1677434499327,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434500568,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434501807,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,77000,0
1677434503046,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434504283,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434505522,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434506761,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434508000,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434509238,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434510475,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434511714,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,74000,0
1677434512952,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,82000,0
1677434514228,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434515466,*,*,*,*,*,*,*,86.7,1152.9m,0.4m,6055,76000,0
1677434516703,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434517942,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434519179,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434520421,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434521658,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434522897,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434524135,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434525373,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,74000,0
1677434526612,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434527849,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434529087,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434530326,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434531563,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434532802,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,76000,0
1677434534040,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434535277,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,79000,0
1677434536516,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434537753,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,80000,0
1677434539011,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,74000,0
1677434540248,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434541488,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434542726,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,76000,0
1677434543964,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434545202,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,76000,0
1677434546440,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434547678,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434548916,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434550154,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434551392,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434552631,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,74000,0
1677434553869,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434555106,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434556344,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,78000,0
1677434557596,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434558834,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434560073,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434561312,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434562550,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434563788,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434565026,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434566263,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434567503,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434568741,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434569979,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,78000,0
1677434571220,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434572457,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434573695,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434574932,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434576169,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434577408,*,*,*,*,*,*,*,93.8,1152.9m,0.4m,6055,76000,0
1677434578646,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,77000,0
1677434579884,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,74000,0
1677434581123,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
