AbsoluteTime,Phase,Step,Loop,Iteration,Frequency,CPU_Usage,RSZ,SWAP,Cumul_pflts,Nb_pflts,Read_Kbps,Write_Kbps
1673575246835,*,*,*,*,1759618,,,,,,,
1673575247035,*,*,*,*,1531530,,,,,,,
1673575247234,*,*,*,*,1522852,,,,,,,
1673575247405,*,*,*,*,*,32.0,2224,0,0,0,95914.08,0.00
1673575247447,*,*,*,*,1326862,,,,,,,
1673575247639,*,*,*,*,1111462,,,,,,,
1673575247836,*,*,*,*,1222108,,,,,,,
1673575248034,*,*,*,*,2031273,,,,,,,
1673575248244,*,*,*,*,882945,,,,,,,
1673575248439,*,*,*,*,885715,,,,,,,
1673575248653,*,*,*,*,1397806,,,,,,,
1673575248836,*,*,*,*,1710685,,,,,,,
1673575249039,*,*,*,*,1060574,,,,,,,
1673575249245,*,*,*,*,1520017,,,,,,,
1673575249445,*,*,*,*,806095,,,,,,,
1673575249645,*,*,*,*,798176,,,,,,,
1673575249771,*,*,*,*,*,30.0,2224,0,0,0,97682.08,0.00
1673575249834,*,*,*,*,1529429,,,,,,,
1673575250045,*,*,*,*,1372519,,,,,,,
1673575250245,*,*,*,*,802526,,,,,,,
1673575250436,*,*,*,*,932224,,,,,,,
1673575250645,*,*,*,*,809804,,,,,,,
1673575250845,*,*,*,*,809647,,,,,,,
1673575251033,*,*,*,*,1950352,,,,,,,
1673575251245,*,*,*,*,1040113,,,,,,,
1673575251445,*,*,*,*,807709,,,,,,,
1673575251631,*,*,*,*,1150912,,,,,,,
1673575251846,*,*,*,*,1079005,,,,,,,
1673575252037,*,*,*,*,1368224,,,,,,,
1673575252077,*,*,*,*,*,34.0,2224,0,0,0,98901.30,0.00
1673575252233,*,*,*,*,1239505,,,,,,,
1673575252445,*,*,*,*,1107445,,,,,,,
1673575252645,*,*,*,*,808998,,,,,,,
1673575252836,*,*,*,*,1032013,,,,,,,
1673575253031,*,*,*,*,2132780,,,,,,,
1673575253241,*,*,*,*,1095310,,,,,,,
1673575253431,*,*,*,*,2222690,,,,,,,
1673575253640,*,*,*,*,1257304,,,,,,,
1673575253845,*,*,*,*,797911,,,,,,,
1673575254032,*,*,*,*,1634282,,,,,,,
1673575254239,*,*,*,*,1514565,,,,,,,
1673575254453,*,*,*,*,812275,,,,,,,
1673575254461,*,*,*,*,*,34.0,2224,0,0,0,89960.20,0.00
1673575254636,*,*,*,*,968730,,,,,,,
1673575254839,*,*,*,*,1472433,,,,,,,
1673575255045,*,*,*,*,1257990,,,,,,,
1673575255241,*,*,*,*,875035,,,,,,,
1673575255444,*,*,*,*,1532599,,,,,,,
1673575255646,*,*,*,*,802468,,,,,,,
1673575256603,*,*,*,*,1257334,,,,,,,
1673575256620,*,*,*,*,1631166,,,,,,,
1673575256637,*,*,*,*,1442544,,,,,,,
1673575256657,*,*,*,*,1289321,,,,,,,
1673575256673,*,*,*,*,1562198,,,,,,,
1673575256822,*,*,*,*,*,100.0,34328,0,0,0,70289.88,0.00
1673575256845,*,*,*,*,1218130,,,,,,,
1673575257030,*,*,*,*,2140537,,,,,,,
1673575257230,*,*,*,*,2783830,,,,,,,
1673575257430,*,*,*,*,2879922,,,,,,,
1673575257630,*,*,*,*,2881327,,,,,,,
1673575257830,*,*,*,*,2873668,,,,,,,
1673575258033,*,*,*,*,2833103,,,,,,,
1673575258230,*,*,*,*,2821490,,,,,,,
1673575258430,*,*,*,*,2874980,,,,,,,
1673575258630,*,*,*,*,2879314,,,,,,,
1673575258830,*,*,*,*,2879914,,,,,,,
1673575259030,*,*,*,*,2829823,,,,,,,
1673575259112,*,*,*,*,*,98.0,106136,0,0,0,65435.78,0.00
1673575259230,*,*,*,*,2847801,,,,,,,
1673575259430,*,*,*,*,2879837,,,,,,,
1673575259630,*,*,*,*,2877101,,,,,,,
1673575259830,*,*,*,*,2879304,,,,,,,
1673575260030,*,*,*,*,2872630,,,,,,,
1673575260230,*,*,*,*,2878429,,,,,,,
1673575260430,*,*,*,*,2808417,,,,,,,
1673575260630,*,*,*,*,2756619,,,,,,,
1673575260830,*,*,*,*,2873115,,,,,,,
1673575261030,*,*,*,*,2848067,,,,,,,
1673575261230,*,*,*,*,2809058,,,,,,,
1673575261369,*,*,*,*,*,99.0,176096,0,0,0,70163.40,0.00
1673575261430,*,*,*,*,2831996,,,,,,,
1673575261630,*,*,*,*,2880423,,,,,,,
1673575261830,*,*,*,*,2841325,,,,,,,
1673575262030,*,*,*,*,2852828,,,,,,,
1673575262230,*,*,*,*,2877882,,,,,,,
1673575262430,*,*,*,*,2850183,,,,,,,
1673575262629,*,*,*,*,2806112,,,,,,,
1673575262830,*,*,*,*,2869839,,,,,,,
1673575263030,*,*,*,*,2855471,,,,,,,
1673575263230,*,*,*,*,2874596,,,,,,,
1673575263430,*,*,*,*,2880830,,,,,,,
1673575263628,*,*,*,*,*,95.0,246320,0,0,0,66449.42,0.00
1673575263632,*,*,*,*,2811371,,,,,,,
1673575263830,*,*,*,*,2862680,,,,,,,
1673575264030,*,*,*,*,2852408,,,,,,,
1673575264230,*,*,*,*,2865920,,,,,,,
1673575264430,*,*,*,*,2865177,,,,,,,
1673575264630,*,*,*,*,2868012,,,,,,,
1673575264833,*,*,*,*,2801117,,,,,,,
1673575265030,*,*,*,*,2821275,,,,,,,
1673575265230,*,*,*,*,2873590,,,,,,,
1673575265430,*,*,*,*,2871214,,,,,,,
1673575265631,*,*,*,*,2843930,,,,,,,
1673575265830,*,*,*,*,2865337,,,,,,,
1673575265901,*,*,*,*,*,96.0,312848,0,0,0,68882.39,0.00
1673575266030,*,*,*,*,2841570,,,,,,,
1673575266230,*,*,*,*,2867318,,,,,,,
1673575266430,*,*,*,*,2880467,,,,,,,
1673575266630,*,*,*,*,2874191,,,,,,,
1673575266830,*,*,*,*,2871347,,,,,,,
1673575267030,*,*,*,*,2865675,,,,,,,
1673575267230,*,*,*,*,2845019,,,,,,,
1673575267430,*,*,*,*,2871530,,,,,,,
1673575267630,*,*,*,*,2880063,,,,,,,
1673575267830,*,*,*,*,2865757,,,,,,,
1673575268030,*,*,*,*,2865154,,,,,,,
1673575268157,*,*,*,*,*,97.0,382280,0,0,0,70929.18,0.00
1673575268230,*,*,*,*,2840407,,,,,,,
1673575268431,*,*,*,*,2873948,,,,,,,
1673575268630,*,*,*,*,2875235,,,,,,,
1673575268830,*,*,*,*,2875754,,,,,,,
1673575269030,*,*,*,*,2865553,,,,,,,
1673575269230,*,*,*,*,2878673,,,,,,,
1673575269430,*,*,*,*,2796895,,,,,,,
1673575269630,*,*,*,*,2869717,,,,,,,
1673575269830,*,*,*,*,2878983,,,,,,,
1673575270030,*,*,*,*,2874066,,,,,,,
1673575270230,*,*,*,*,2874990,,,,,,,
1673575270413,*,*,*,*,*,85.0,448808,0,0,0,70929.15,0.00
1673575270433,*,*,*,*,2853059,,,,,,,
1673575270630,*,*,*,*,2879003,,,,,,,
1673575270830,*,*,*,*,2875525,,,,,,,
1673575271030,*,*,*,*,2862321,,,,,,,
1673575271230,*,*,*,*,2373948,,,,,,,
1673575271430,*,*,*,*,2845218,,,,,,,
1673575271633,*,*,*,*,2837327,,,,,,,
1673575271830,*,*,*,*,2851831,,,,,,,
1673575272030,*,*,*,*,2868923,,,,,,,
1673575272230,*,*,*,*,2879577,,,,,,,
1673575272430,*,*,*,*,2877964,,,,,,,
1673575272630,*,*,*,*,2876690,,,,,,,
1673575272680,*,*,*,*,*,100.0,520880,0,0,0,7795.29,0.00
1673575272830,*,*,*,*,2847909,,,,,,,
1673575273030,*,*,*,*,2874293,,,,,,,
1673575273230,*,*,*,*,2877554,,,,,,,
1673575273430,*,*,*,*,2879561,,,,,,,
1673575273630,*,*,*,*,2880649,,,,,,,
1673575273830,*,*,*,*,2876022,,,,,,,
1673575274037,*,*,*,*,2796890,,,,,,,
1673575274230,*,*,*,*,2860929,,,,,,,
1673575274430,*,*,*,*,2864445,,,,,,,
1673575274630,*,*,*,*,2879672,,,,,,,
1673575274830,*,*,*,*,2881000,,,,,,,
1673575274940,*,*,*,*,*,99.0,578960,0,0,0,0.00,0.00
1673575275030,*,*,*,*,2833832,,,,,,,
1673575275230,*,*,*,*,2838461,,,,,,,
1673575275430,*,*,*,*,2881335,,,,,,,
1673575275630,*,*,*,*,2869327,,,,,,,
1673575275830,*,*,*,*,2878656,,,,,,,
1673575276030,*,*,*,*,2881232,,,,,,,
1673575276230,*,*,*,*,2770647,,,,,,,
1673575276430,*,*,*,*,2879814,,,,,,,
1673575276630,*,*,*,*,2768483,,,,,,,
1673575276830,*,*,*,*,2874268,,,,,,,
1673575277030,*,*,*,*,2873577,,,,,,,
1673575277202,*,*,*,*,*,99.0,578960,0,0,0,0.00,0.00
1673575277230,*,*,*,*,2744267,,,,,,,
1673575277430,*,*,*,*,2875004,,,,,,,
1673575277630,*,*,*,*,2880753,,,,,,,
1673575277830,*,*,*,*,2821287,,,,,,,
1673575278030,*,*,*,*,2857596,,,,,,,
1673575278230,*,*,*,*,2878346,,,,,,,
1673575278434,*,*,*,*,2693842,,,,,,,
1673575278630,*,*,*,*,2854064,,,,,,,
1673575278830,*,*,*,*,2880038,,,,,,,
1673575279030,*,*,*,*,2801683,,,,,,,
1673575279230,*,*,*,*,2854571,,,,,,,
1673575279430,*,*,*,*,2879096,,,,,,,
1673575279466,*,*,*,*,*,100.0,578960,0,0,0,0.00,0.00
1673575279630,*,*,*,*,2839448,,,,,,,
1673575279830,*,*,*,*,2875677,,,,,,,
1673575280030,*,*,*,*,2875311,,,,,,,
1673575280230,*,*,*,*,2850192,,,,,,,
1673575280430,*,*,*,*,2875214,,,,,,,
1673575280630,*,*,*,*,2880694,,,,,,,
1673575280830,*,*,*,*,2853327,,,,,,,
1673575281030,*,*,*,*,2869707,,,,,,,
1673575281230,*,*,*,*,2879669,,,,,,,
1673575281430,*,*,*,*,2856364,,,,,,,
1673575281630,*,*,*,*,2876328,,,,,,,
1673575281724,*,*,*,*,*,100.0,578960,0,0,0,0.00,0.00
1673575281830,*,*,*,*,2848124,,,,,,,
1673575282032,*,*,*,*,2850136,,,,,,,
1673575282230,*,*,*,*,2865611,,,,,,,
1673575282430,*,*,*,*,2879902,,,,,,,
1673575282630,*,*,*,*,2864741,,,,,,,
1673575282830,*,*,*,*,2874880,,,,,,,
1673575283030,*,*,*,*,2806146,,,,,,,
1673575283230,*,*,*,*,2865638,,,,,,,
1673575283430,*,*,*,*,2876922,,,,,,,
1673575283630,*,*,*,*,2881260,,,,,,,
1673575283830,*,*,*,*,2869054,,,,,,,
1673575283982,*,*,*,*,*,99.0,578960,0,0,0,0.00,0.00
1673575284030,*,*,*,*,2842486,,,,,,,
1673575284230,*,*,*,*,2874464,,,,,,,
1673575284430,*,*,*,*,2869873,,,,,,,
1673575284630,*,*,*,*,2875909,,,,,,,
1673575284830,*,*,*,*,2878845,,,,,,,
1673575285030,*,*,*,*,2869579,,,,,,,
1673575285230,*,*,*,*,2800137,,,,,,,
1673575285430,*,*,*,*,2881405,,,,,,,
1673575285630,*,*,*,*,2872401,,,,,,,
1673575285830,*,*,*,*,2876435,,,,,,,
1673575286030,*,*,*,*,2878904,,,,,,,
1673575286233,*,*,*,*,2867647,,,,,,,
1673575286245,*,*,*,*,*,100.0,578960,0,0,0,0.00,0.00
1673575286430,*,*,*,*,2850998,,,,,,,
1673575286630,*,*,*,*,2880735,,,,,,,
1673575286830,*,*,*,*,2873825,,,,,,,
1673575287030,*,*,*,*,2875701,,,,,,,
1673575287230,*,*,*,*,2875383,,,,,,,
1673575287434,*,*,*,*,2853128,,,,,,,
1673575287630,*,*,*,*,2822982,,,,,,,
1673575287830,*,*,*,*,2880878,,,,,,,
1673575288030,*,*,*,*,2872365,,,,,,,
1673575288230,*,*,*,*,2873724,,,,,,,
1673575288430,*,*,*,*,2881109,,,,,,,
1673575288510,*,*,*,*,*,100.0,578960,0,0,0,0.00,0.00
1673575288631,*,*,*,*,2838402,,,,,,,
1673575288830,*,*,*,*,2879597,,,,,,,
1673575289030,*,*,*,*,2880239,,,,,,,
1673575289230,*,*,*,*,2874499,,,,,,,
1673575289430,*,*,*,*,2879667,,,,,,,
1673575289630,*,*,*,*,2879997,,,,,,,
1673575289830,*,*,*,*,2788337,,,,,,,
1673575290030,*,*,*,*,2878341,,,,,,,
1673575290230,*,*,*,*,2874943,,,,,,,
1673575290430,*,*,*,*,2875610,,,,,,,
1673575290630,*,*,*,*,2879860,,,,,,,
1673575290769,*,*,*,*,*,100.0,578960,0,0,0,0.00,0.00
1673575290830,*,*,*,*,2846850,,,,,,,
1673575291030,*,*,*,*,2872900,,,,,,,
1673575291230,*,*,*,*,2875905,,,,,,,
1673575291430,*,*,*,*,2879900,,,,,,,
1673575291630,*,*,*,*,2875066,,,,,,,
1673575291830,*,*,*,*,2879979,,,,,,,
1673575292030,*,*,*,*,2805641,,,,,,,
1673575292230,*,*,*,*,2870105,,,,,,,
1673575292430,*,*,*,*,2880122,,,,,,,
1673575292630,*,*,*,*,2880938,,,,,,,
1673575292830,*,*,*,*,2875434,,,,,,,
1673575293030,*,*,*,*,*,99.0,676112,0,0,0,0.00,0.00
1673575293032,*,*,*,*,2866318,,,,,,,
1673575293230,*,*,*,*,2826740,,,,,,,
1673575293430,*,*,*,*,2876870,,,,,,,
1673575293630,*,*,*,*,2880506,,,,,,,
1673575293830,*,*,*,*,2879381,,,,,,,
1673575294030,*,*,*,*,2873315,,,,,,,
1673575294233,*,*,*,*,2812654,,,,,,,
1673575294430,*,*,*,*,2835806,,,,,,,
1673575294630,*,*,*,*,2877438,,,,,,,
1673575294830,*,*,*,*,2879799,,,,,,,
1673575295030,*,*,*,*,2880053,,,,,,,
1673575295230,*,*,*,*,2843366,,,,,,,
1673575295297,*,*,*,*,*,100.0,978.4m,0,0,0,0.00,0.00
1673575295430,*,*,*,*,2844061,,,,,,,
1673575295630,*,*,*,*,2879727,,,,,,,
1673575295830,*,*,*,*,2874834,,,,,,,
1673575296030,*,*,*,*,2868182,,,,,,,
1673575296230,*,*,*,*,2874957,,,,,,,
1673575296430,*,*,*,*,2875020,,,,,,,
1673575296630,*,*,*,*,2807976,,,,,,,
1673575296830,*,*,*,*,2879280,,,,,,,
1673575297031,*,*,*,*,2872251,,,,,,,
1673575297230,*,*,*,*,2872236,,,,,,,
1673575297430,*,*,*,*,2876782,,,,,,,
1673575297555,*,*,*,*,*,100.0,1.1g,0,0,0,0.00,0.00
1673575297630,*,*,*,*,2833482,,,,,,,
1673575297830,*,*,*,*,2877609,,,,,,,
1673575298030,*,*,*,*,2878303,,,,,,,
1673575298230,*,*,*,*,2858044,,,,,,,
1673575298430,*,*,*,*,2879568,,,,,,,
1673575298630,*,*,*,*,2879604,,,,,,,
1673575298830,*,*,*,*,2785802,,,,,,,
1673575299030,*,*,*,*,2876958,,,,,,,
1673575299230,*,*,*,*,2874649,,,,,,,
1673575299430,*,*,*,*,2868567,,,,,,,
1673575299630,*,*,*,*,2880242,,,,,,,
1673575299819,*,*,*,*,*,100.0,1.1g,0,0,0,0.00,0.00
1673575299833,*,*,*,*,2857136,,,,,,,
1673575300030,*,*,*,*,2871433,,,,,,,
1673575300230,*,*,*,*,2874194,,,,,,,
1673575300430,*,*,*,*,2880609,,,,,,,
1673575300630,*,*,*,*,2874697,,,,,,,
1673575300830,*,*,*,*,2879567,,,,,,,
1673575301033,*,*,*,*,2846618,,,,,,,
1673575301230,*,*,*,*,2858205,,,,,,,
1673575301430,*,*,*,*,2877947,,,,,,,
1673575301630,*,*,*,*,2879183,,,,,,,
1673575301830,*,*,*,*,2873205,,,,,,,
1673575302030,*,*,*,*,2877398,,,,,,,
1673575302092,*,*,*,*,*,99.0,1.1g,0,0,0,0.00,0.00
1673575302230,*,*,*,*,2840713,,,,,,,
1673575302430,*,*,*,*,2871706,,,,,,,
1673575302630,*,*,*,*,2880363,,,,,,,
1673575302830,*,*,*,*,2880088,,,,,,,
1673575303030,*,*,*,*,2870062,,,,,,,
1673575303230,*,*,*,*,2875315,,,,,,,
1673575303430,*,*,*,*,2805808,,,,,,,
1673575303630,*,*,*,*,2868038,,,,,,,
1673575303830,*,*,*,*,2880260,,,,,,,
1673575304030,*,*,*,*,2879126,,,,,,,
1673575304230,*,*,*,*,2868021,,,,,,,
1673575304351,*,*,*,*,*,100.0,1.1g,0,0,0,0.00,0.00
1673575304430,*,*,*,*,2846425,,,,,,,
1673575304630,*,*,*,*,2880309,,,,,,,
1673575304830,*,*,*,*,2872135,,,,,,,
1673575305030,*,*,*,*,2879672,,,,,,,
1673575305230,*,*,*,*,2876086,,,,,,,
1673575305430,*,*,*,*,2876130,,,,,,,
1673575305630,*,*,*,*,2803932,,,,,,,
1673575305830,*,*,*,*,2879109,,,,,,,
1673575306030,*,*,*,*,2871568,,,,,,,
1673575306230,*,*,*,*,2873948,,,,,,,
1673575306430,*,*,*,*,2879256,,,,,,,
1673575306612,*,*,*,*,*,100.0,1.1g,0,0,0,0.00,0.00
1673575306633,*,*,*,*,2842809,,,,,,,
1673575306830,*,*,*,*,2879099,,,,,,,
1673575307030,*,*,*,*,2877797,,,,,,,
1673575307230,*,*,*,*,2873581,,,,,,,
1673575307430,*,*,*,*,2879070,,,,,,,
1673575307630,*,*,*,*,2879784,,,,,,,
1673575307833,*,*,*,*,2823837,,,,,,,
1673575308030,*,*,*,*,2849524,,,,,,,
1673575308230,*,*,*,*,2877258,,,,,,,
1673575308430,*,*,*,*,2876488,,,,,,,
1673575308630,*,*,*,*,2881080,,,,,,,
1673575308830,*,*,*,*,2880684,,,,,,,
1673575308884,*,*,*,*,*,100.0,1.1g,0,0,0,0.00,0.00
1673575309030,*,*,*,*,2834213,,,,,,,
1673575309230,*,*,*,*,2877987,,,,,,,
1673575309430,*,*,*,*,2879211,,,,,,,
1673575309630,*,*,*,*,2870798,,,,,,,
1673575309830,*,*,*,*,2879472,,,,,,,
1673575310030,*,*,*,*,2878240,,,,,,,
1673575310230,*,*,*,*,2798702,,,,,,,
1673575310430,*,*,*,*,2879245,,,,,,,
1673575310630,*,*,*,*,2879253,,,,,,,
1673575310830,*,*,*,*,2871127,,,,,,,
1673575311030,*,*,*,*,2879295,,,,,,,
1673575311148,*,*,*,*,*,100.0,1.1g,0,0,0,0.00,0.00
1673575311230,*,*,*,*,2844506,,,,,,,
1673575311430,*,*,*,*,2871298,,,,,,,
1673575311630,*,*,*,*,2880299,,,,,,,
1673575311830,*,*,*,*,2879778,,,,,,,
1673575312030,*,*,*,*,2871195,,,,,,,
1673575312230,*,*,*,*,2878935,,,,,,,
1673575312430,*,*,*,*,2806149,,,,,,,
1673575312630,*,*,*,*,2876200,,,,,,,
1673575312830,*,*,*,*,2879746,,,,,,,
1673575313030,*,*,*,*,2878000,,,,,,,
1673575313230,*,*,*,*,2869209,,,,,,,
1673575313407,*,*,*,*,*,100.0,1.1g,0,0,0,0.00,0.00
1673575313430,*,*,*,*,2848811,,,,,,,
1673575313630,*,*,*,*,2879864,,,,,,,
1673575313830,*,*,*,*,2873334,,,,,,,
1673575314030,*,*,*,*,2868443,,,,,,,
1673575314230,*,*,*,*,2878997,,,,,,,
1673575314430,*,*,*,*,2859930,,,,,,,
