chunk_id,it_id,reassign_count,sse
0,0,116977,17636.362026
0,1,64626,15362.399511
0,2,48015,14620.155880
0,3,42720,14067.842603
0,4,38138,13552.929552
0,5,29149,13068.024577
0,6,21095,12719.391405
0,7,16003,12489.623686
0,8,10003,12300.837406
0,9,4951,12215.052753
0,10,2277,12194.108633
0,11,1021,12189.971044
0,12,484,12189.170830
0,13,243,12189.001585
0,14,107,12188.962936
0,15,39,12188.953950
0,16,15,12188.952389
0,17,6,12188.952156
0,18,3,12188.952106
0,19,3,12188.952087
0,20,3,12188.952073
1,0,119602,18129.202596
1,1,73861,15532.948373
1,2,50391,14698.190998
1,3,42505,14252.984157
1,4,38016,13831.146329
1,5,31562,13412.574049
1,6,24188,13060.020565
1,7,20007,12847.359957
1,8,19731,12674.458946
1,9,16497,12441.725685
1,10,9217,12257.421670
1,11,3965,12194.669084
1,12,1592,12182.953229
1,13,644,12181.124982
1,14,271,12180.831865
1,15,122,12180.786369
1,16,57,12180.778384
1,17,20,12180.776311
1,18,11,12180.775891
1,19,7,12180.775756
1,20,2,12180.775666
1,21,5,12180.775642
1,22,4,12180.775608
1,23,1,12180.775574
1,24,1,12180.775566
2,0,105042,16779.495692
2,1,59148,15198.434707
2,2,47562,14599.310455
2,3,47176,14109.158274
2,4,43993,13527.044005
2,5,32954,12920.346248
2,6,19857,12489.242159
2,7,8904,12266.590423
2,8,3377,12218.035842
2,9,1357,12211.333495
2,10,577,12210.310038
2,11,233,12210.149203
2,12,94,12210.120510
2,13,53,12210.114947
2,14,32,12210.112929
2,15,15,12210.112064
2,16,5,12210.111857
2,17,1,12210.111792
2,18,1,12210.111783
3,0,130204,18477.268795
3,1,92574,15090.598582
3,2,54231,13479.625390
3,3,28179,12621.385963
3,4,12165,12284.163434
3,5,5075,12207.928291
3,6,2370,12190.524232
3,7,1253,12185.660572
3,8,643,12184.209862
3,9,319,12183.765351
3,10,162,12183.664857
3,11,72,12183.634575
3,12,55,12183.626204
3,13,29,12183.622711
3,14,25,12183.621571
3,15,17,12183.620987
3,16,9,12183.620556
3,17,3,12183.620431
3,18,2,12183.620412
4,0,145215,18393.445468
4,1,87750,14971.549329
4,2,50102,13375.765912
4,3,26405,12584.444128
4,4,11585,12292.944224
4,5,4806,12227.298313
4,6,2155,12214.259217
4,7,906,12211.452404
4,8,442,12210.898692
4,9,217,12210.757883
4,10,103,12210.721822
4,11,44,12210.713513
4,12,29,12210.711112
4,13,21,12210.710617
4,14,8,12210.710347
4,15,2,12210.710261
5,0,127829,19044.406851
5,1,81825,15294.505254
5,2,37594,13939.438492
5,3,28290,13600.347785
5,4,27308,13287.187101
5,5,25470,12945.964827
5,6,20079,12596.485102
5,7,11045,12305.609861
5,8,4566,12206.276343
5,9,1773,12190.542089
5,10,750,12187.993113
5,11,384,12187.477729
5,12,193,12187.357869
5,13,110,12187.327816
5,14,43,12187.319227
5,15,23,12187.317155
5,16,14,12187.316486
5,17,5,12187.316231
5,18,2,12187.316196
6,0,141888,18435.105988
6,1,86596,15229.466094
6,2,53502,13892.662668
6,3,40122,13112.474586
6,4,23563,12508.529891
6,5,10740,12251.200465
6,6,4208,12193.075338
6,7,1659,12183.849638
6,8,700,12182.397476
6,9,345,12182.116225
6,10,165,12182.056579
6,11,79,12182.038667
6,12,37,12182.034570
6,13,14,12182.033533
6,14,2,12182.033243
6,15,1,12182.033210
7,0,123189,17239.347519
7,1,71406,14855.089116
7,2,40036,13936.345397
7,3,27070,13578.417403
7,4,22479,13372.431516
7,5,18427,13179.954673
7,6,12289,13022.397343
7,7,8244,12935.136637
7,8,5428,12892.286270
7,9,3778,12872.631678
7,10,3300,12863.621712
7,11,3311,12857.158654
7,12,3500,12850.884314
7,13,3794,12844.073753
7,14,4133,12836.066076
7,15,4638,12826.451869
7,16,5615,12813.618549
7,17,7585,12792.643301
7,18,11576,12748.217528
7,19,15894,12641.149881
7,20,15139,12440.751888
7,21,9057,12265.621934
7,22,4362,12203.158310
7,23,2061,12187.627109
7,24,1034,12183.525772
7,25,520,12182.478475
7,26,269,12182.183192
7,27,167,12182.088403
7,28,88,12182.056960
7,29,59,12182.047784
7,30,30,12182.043917
7,31,21,12182.042335
7,32,7,12182.041631
7,33,6,12182.041489
7,34,4,12182.041387
7,35,1,12182.041343
8,0,107873,19962.235494
8,1,86961,16412.273164
8,2,62112,14905.590037
8,3,42977,14076.887209
8,4,28688,13633.538536
8,5,23510,13417.525405
8,6,23474,13223.380351
8,7,20629,12976.198338
8,8,14406,12763.912947
8,9,9726,12656.478788
8,10,6962,12605.258710
8,11,6607,12570.617737
8,12,7936,12524.538390
8,13,8876,12445.866937
8,14,8207,12342.481869
8,15,6091,12256.031255
8,16,3664,12210.517014
8,17,2055,12195.259095
8,18,1069,12190.951650
8,19,539,12189.777116
8,20,316,12189.466646
8,21,162,12189.380959
8,22,90,12189.352311
8,23,65,12189.344093
8,24,27,12189.340740
8,25,24,12189.339744
8,26,23,12189.339091
8,27,15,12189.338590
8,28,9,12189.338377
8,29,4,12189.338281
8,30,3,12189.338239
8,31,3,12189.338221
8,32,2,12189.338204
8,33,1,12189.338192
8,34,2,12189.338185
9,0,134090,18503.356539
9,1,92027,15402.776762
9,2,55511,14069.938458
9,3,40246,13424.318259
9,4,32870,12955.980783
9,5,21976,12507.086537
9,6,11079,12269.057941
9,7,5069,12202.372817
9,8,2307,12186.076848
9,9,961,12182.555247
9,10,466,12181.842903
9,11,182,12181.674402
9,12,91,12181.645949
9,13,37,12181.640058
9,14,14,12181.639029
9,15,3,12181.638866
9,16,4,12181.638846
10,0,118275,18415.596513
10,1,91330,15983.033411
10,2,60896,14805.041203
10,3,51466,14112.901912
10,4,37595,13380.983492
10,5,21428,12912.076729
10,6,11168,12755.485954
10,7,7248,12714.588844
10,8,7420,12693.360874
10,9,10981,12655.386631
10,10,15505,12542.501263
10,11,10489,12303.225898
10,12,3984,12186.412648
10,13,1278,12173.761498
10,14,416,12172.707099
10,15,157,12172.599992
10,16,74,12172.584512
10,17,24,12172.581686
10,18,11,12172.580980
10,19,10,12172.580889
10,20,6,12172.580804
10,21,3,12172.580755
10,22,3,12172.580736
10,23,1,12172.580716
