0,0,168
1,0,874
2,0,307
3,0,85
4,0,1143
5,0,394
6,0,332904
7,0,1466
8,0,163
9,0,630
0,1,153
1,1,375
2,1,1378
3,1,4
4,1,2208
5,1,329467
6,1,231
7,1,363
8,1,358
9,1,643
0,2,403
1,2,5
2,2,1079
3,2,166
4,2,15
5,2,511
6,2,89
7,2,332471
8,2,5
9,2,29
0,3,88
1,3,17
2,3,104
3,3,32
4,3,327710
5,3,275
6,3,185
7,3,89
8,3,0
9,3,119
0,4,60
1,4,1320
2,4,330827
3,4,124
4,4,356
5,4,629
6,4,47
7,4,41
8,4,166
9,4,794
0,5,76
1,5,331045
2,5,113
3,5,241
4,5,89
5,5,692
6,5,157
7,5,44
8,5,13
9,5,280
0,6,333864
1,6,324
2,6,295
3,6,114
4,6,1690
5,6,888
6,6,774
7,6,832
8,6,726
9,6,1
0,7,108
1,7,1004
2,7,1
3,7,334261
4,7,45
5,7,1680
6,7,599
7,7,15
8,7,3
9,7,518
0,8,98
1,8,312
2,8,171
3,8,255
4,8,1346
5,8,3
6,8,515
7,8,210
8,8,2
9,8,331993
0,9,527
1,9,269
2,9,1270
3,9,263
4,9,943
5,9,1006
6,9,44
7,9,14
8,9,334109
9,9,538
