dataset,N,M,dim,k,partiel_chunks_iterations+final_chunk_iterations 
0.0,13421800,3355450,10,10,18 + 22 + 34 + 27 + 24

-0.1,13421800,3355450,10,10,31 + 32 + 29 + 52 + 31
-0.1,13421800,3355450,10,10,35 + 39 + 22 + 38 + 35
-0.1,13421800,3355450,10,10,33 + 44 + 37 + 27 + 35
-0.1,13421800,3355450,10,10,34 + 34 + 31 + 68 + 47
-0.1,13421800,3355450,10,10,30 + 35 + 32 + 49 + 33
-0.1,13421800,3355450,10,10,38 + 35 + 38 + 39 + 33
-0.1,13421800,3355450,10,10,37 + 37 + 28 + 41 + 29
-0.1,13421800,3355450,10,10,27 + 35 + 39 + 63 + 38
-0.1,13421800,3355450,10,10,37 + 32 + 35 + 35 + 40
-0.1,13421800,3355450,10,10,37 + 39 + 27 + 39 + 34
-0.1,13421800,3355450,10,10,35 + 36 + 37 + 32 + 31
-0.1,13421800,3355450,10,10,34 + 36 + 29 + 35 + 38
-0.1,13421800,3355450,10,10,38 + 30 + 33 + 36 + 51
-0.1,13421800,3355450,10,10,47 + 37 + 29 + 40 + 36
-0.1,13421800,3355450,10,10,33 + 34 + 31 + 37 + 42

-0.2,13421800,3355450,10,10,65 + 60 + 68 + 51 + 117
-0.2,13421800,3355450,10,10,75 + 124 + 150 + 57 + 105
-0.2,13421800,3355450,10,10,58 + 82 + 75 + 98 + 83
-0.2,13421800,3355450,10,10,61 + 150 + 70 + 63 + 98
-0.2,13421800,3355450,10,10,53 + 106 + 52 + 50 + 82
-0.2,13421800,3355450,10,10,150 + 66 + 65 + 73 + 52
-0.2,13421800,3355450,10,10,72 + 74 + 63 + 56 + 61
-0.2,13421800,3355450,10,10,43 + 121 + 107 + 69 + 83
-0.2,13421800,3355450,10,10,79 + 79 + 60 + 74 + 51
-0.2,13421800,3355450,10,10,68 + 66 + 75 + 131 + 136
-0.2,13421800,3355450,10,10,115 + 91 + 72 + 118 + 59
-0.2,13421800,3355450,10,10,80 + 119 + 51 + 73 + 60
-0.2,13421800,3355450,10,10,53 + 72 + 86 + 132 + 102
-0.2,13421800,3355450,10,10,62 + 71 + 64 + 124 + 58
-0.2,13421800,3355450,10,10,67 + 74 + 72 + 54 + 51

-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 136
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,150 + 101 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,148 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 134
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,139 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
-0.3,13421800,3355450,10,10,150 + 150 + 150 + 141 + 150

-0.4,13421800,3355450,10,10,150 + 150 + 150 + 150 + 150
