0.5,13421800,1342180,10,10,1 + 1 + 1 + 1 + 1 + 1 + 2 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 1 + 2 + 2 + 2 + 1 + 1 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 2 + 2 + 2 + 1 + 1 + 1 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 1 + 2 + 1 + 1 + 1 + 1 + 1 + 1 + 106 + 1
0.5,13421800,1342180,10,10,1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 1 + 1 + 2 + 1 + 1 + 1 + 1 + 2 + 1 + 1
0.5,13421800,1342180,10,10,1 + 1 + 2 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 1 + 1 + 2 + 1 + 1 + 1 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 2 + 2 + 2 + 1 + 1 + 2 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 1 + 2 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 1 + 2 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 1 + 1 + 2 + 1 + 1 + 1 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 1 + 1 + 2 + 1 + 1 + 1 + 1 + 1 + 1 + 1
0.5,13421800,1342180,10,10,1 + 1 + 1 + 2 + 1 + 1 + 1 + 2 + 1 + 1 + 2
0.5,13421800,1342180,10,10,1 + 1 + 1 + 2 + 1 + 1 + 1 + 2 + 1 + 1 + 1
0.4,13421800,1342180,10,10,3 + 2 + 150 + 4 + 4 + 150 + 4 + 105 + 88 + 150 + 150
0.4,13421800,1342180,10,10,150 + 4 + 150 + 150 + 4 + 150 + 150 + 150 + 150 + 118 + 150
0.4,13421800,1342180,10,10,106 + 2 + 150 + 56 + 150 + 4 + 150 + 150 + 112 + 150 + 126
0.4,13421800,1342180,10,10,150 + 150 + 147 + 3 + 4 + 150 + 150 + 150 + 150 + 2 + 93
0.4,13421800,1342180,10,10,3 + 4 + 150 + 150 + 150 + 94 + 4 + 4 + 4 + 150 + 4
0.4,13421800,1342180,10,10,2 + 149 + 83 + 112 + 150 + 3 + 4 + 143 + 3 + 3 + 150
0.4,13421800,1342180,10,10,4 + 141 + 150 + 150 + 150 + 150 + 150 + 100 + 150 + 2 + 150
0.4,13421800,1342180,10,10,4 + 150 + 150 + 5 + 3 + 2 + 2 + 150 + 150 + 123 + 4
0.4,13421800,1342180,10,10,150 + 150 + 150 + 150 + 150 + 150 + 150 + 150 + 150 + 150 + 150
0.4,13421800,1342180,10,10,150 + 150 + 140 + 150 + 4 + 138 + 2 + 4 + 2 + 150 + 150
0.4,13421800,1342180,10,10,5 + 4 + 6 + 150 + 150 + 5 + 150 + 150 + 150 + 149 + 150
0.4,13421800,1342180,10,10,150 + 149 + 4 + 150 + 2 + 149 + 110 + 2 + 150 + 150 + 139
