chunk_id,it_id,reassign_count,sse
0,0,39587,12551.064267
0,1,24331,11228.696828
0,2,6544,10116.036561
0,3,599,9896.431814
0,4,37,9892.867581
0,5,5,9892.849301
0,6,2,9892.849175
0,7,1,9892.849162
1,0,65590,12896.902249
1,1,4771,10009.683442
1,2,343,9905.457793
1,3,30,9904.873604
1,4,3,9904.870383
2,0,92331,14090.236729
2,1,8508,10167.274495
2,2,581,9885.239987
2,3,58,9882.551918
2,4,4,9882.533243
2,5,1,9882.533136
3,0,110910,16950.306274
3,1,21194,12215.267789
3,2,4118,11656.796116
3,3,1935,11639.230119
3,4,1181,11635.985196
3,5,839,11634.557315
3,6,706,11633.776911
3,7,637,11633.184758
3,8,648,11632.643879
3,9,635,11632.065059
3,10,632,11631.487494
3,11,644,11630.935403
3,12,685,11630.356135
3,13,710,11629.700977
3,14,756,11629.001239
3,15,787,11628.192276
3,16,830,11627.267731
3,17,929,11626.242569
3,18,1012,11625.031184
3,19,1307,11623.417187
3,20,1708,11620.793308
3,21,2588,11615.648002
3,22,4751,11602.403838
3,23,11025,11553.286369
3,24,20639,11259.723053
3,25,7428,10220.527654
3,26,665,9892.675611
3,27,27,9888.073690
3,28,2,9888.064732
4,0,101069,14849.135129
4,1,9507,10174.537252
4,2,826,9907.480144
4,3,66,9904.081476
4,4,2,9904.063444
4,5,1,9904.063367
5,0,112251,15403.074317
5,1,9361,10137.604947
5,2,739,9879.125414
5,3,65,9876.435183
5,4,5,9876.422444
5,5,1,9876.422339
6,0,58610,12932.512796
6,1,15005,10522.764768
6,2,1350,9905.470772
6,3,80,9890.621136
6,4,1,9890.576447
7,0,27961,11087.015530
7,1,1442,9901.247041
7,2,79,9889.304861
7,3,6,9889.283581
7,4,2,9889.283456
8,0,82656,13621.331672
8,1,7793,10108.678968
8,2,780,9903.671728
8,3,63,9900.145350
8,4,4,9900.127727
9,0,54040,13718.914175
9,1,11107,11824.139243
9,2,4440,11685.752355
9,3,2126,11663.063070
9,4,1248,11658.291199
9,5,825,11656.255793
9,6,643,11655.096821
9,7,554,11654.320346
9,8,537,11653.682190
9,9,489,11653.126605
9,10,451,11652.682933
9,11,444,11652.291640
9,12,446,11651.915047
9,13,445,11651.514050
9,14,451,11651.092086
9,15,462,11650.684782
9,16,431,11650.248093
9,17,430,11649.840436
9,18,434,11649.459318
9,19,409,11649.076304
9,20,399,11648.737939
9,21,378,11648.420416
9,22,356,11648.111472
9,23,339,11647.839444
9,24,299,11647.612573
9,25,303,11647.415726
9,26,280,11647.231819
9,27,265,11647.064332
9,28,253,11646.917226
9,29,213,11646.770638
9,30,225,11646.668030
9,31,244,11646.566592
9,32,234,11646.461762
9,33,229,11646.341028
9,34,245,11646.216110
9,35,205,11646.102042
9,36,230,11646.009827
9,37,196,11645.910597
9,38,189,11645.824705
9,39,177,11645.747058
9,40,157,11645.686590
9,41,152,11645.635094
9,42,164,11645.585690
9,43,154,11645.534971
9,44,130,11645.489035
9,45,119,11645.450427
9,46,108,11645.419120
9,47,89,11645.392275
9,48,76,11645.374170
9,49,76,11645.359891
9,50,76,11645.348554
9,51,73,11645.337146
9,52,58,11645.326391
9,53,49,11645.318755
9,54,47,11645.313353
9,55,44,11645.308321
9,56,47,11645.303654
9,57,39,11645.300409
9,58,36,11645.297339
9,59,27,11645.295026
9,60,34,11645.293218
9,61,27,11645.291011
9,62,28,11645.289115
9,63,25,11645.287359
9,64,26,11645.285920
9,65,16,11645.284332
9,66,15,11645.283520
9,67,7,11645.282978
9,68,10,11645.282774
9,69,12,11645.282378
9,70,9,11645.281993
9,71,8,11645.281778
9,72,6,11645.281627
9,73,4,11645.281508
9,74,3,11645.281451
9,75,3,11645.281417
9,76,1,11645.281366
9,77,1,11645.281364
9,78,1,11645.281359
10,0,53595,13783.813277
10,1,7345,11675.177252
10,2,2340,11612.938695
10,3,1296,11607.964014
10,4,816,11606.208113
10,5,510,11605.435887
10,6,357,11605.046750
10,7,311,11604.830603
10,8,274,11604.641222
10,9,254,11604.480453
10,10,291,11604.327656
10,11,304,11604.147124
10,12,314,11603.944625
10,13,291,11603.714339
10,14,306,11603.513264
10,15,308,11603.309286
10,16,298,11603.098542
10,17,282,11602.921497
10,18,292,11602.740133
10,19,273,11602.549794
10,20,289,11602.377465
10,21,251,11602.187511
10,22,246,11602.023225
10,23,238,11601.871662
10,24,241,11601.741485
10,25,236,11601.602983
10,26,205,11601.466360
10,27,221,11601.363066
10,28,223,11601.254626
10,29,210,11601.145115
10,30,212,11601.043914
10,31,208,11600.941091
10,32,201,11600.841258
10,33,198,11600.745722
10,34,198,11600.672654
10,35,189,11600.575744
10,36,174,11600.493380
10,37,160,11600.407816
10,38,187,11600.338238
10,39,195,11600.261125
10,40,175,11600.179745
10,41,162,11600.106208
10,42,170,11600.039634
10,43,181,11599.977351
10,44,193,11599.908221
10,45,172,11599.824450
10,46,165,11599.752381
10,47,168,11599.681152
10,48,165,11599.614937
10,49,144,11599.554614
10,50,124,11599.506343
10,51,96,11599.471928
10,52,97,11599.450123
10,53,94,11599.428689
10,54,83,11599.410086
10,55,83,11599.390749
10,56,76,11599.377117
10,57,69,11599.365255
10,58,67,11599.353954
10,59,58,11599.344452
10,60,60,11599.336068
10,61,56,11599.328791
10,62,71,11599.319912
10,63,56,11599.309223
10,64,40,11599.301641
10,65,21,11599.297461
10,66,11,11599.296417
10,67,5,11599.296226
10,68,3,11599.296167
10,69,1,11599.296144
10,70,2,11599.296135
10,71,1,11599.296121
10,72,3,11599.296115
10,73,2,11599.296077
10,74,1,11599.296060
10,75,2,11599.296055
10,76,1,11599.296045
10,77,1,11599.296040
10,78,1,11599.296036
